,participant,block,net_trial,net_size,net_contents,offer_1,offer_2,offer_3,choice,switch_trial,prop_filled,raw_distance,trials_invested,net_item_idx,best_alt_idx,worst_alt_idx,goal_offer,best_alt_offer,worst_alt_offer,in_scanner,decisionRT,myopic_values_1,myopic_values_2,myopic_values_3,tree_search_item1,tree_search_item2,tree_search_item3
67,0,11,3,25,11.6715941987166,7.51902542351496,5.25496335941061,6.50835692003297,2,0,0.466863767948663,13.3284058012834,2,2.0,1.0,3.0,5.25496335941061,7.51902542351496,6.50835692003297,1.0,,7.51902542351496,16.9265575581272,6.50835692003297,-5.60075,-4.11155,-6.13335
68,0,11,4,25,16.9265575581272,7.23012073620932,5.16466020418032,-1.92158709158095,2,0,0.677062302325087,8.07344244187282,3,2.0,1.0,3.0,5.16466020418032,7.23012073620932,-1.92158709158095,1.0,,7.23012073620932,22.0912177623075,-1.92158709158095,-5.78715,-2.55325,-12.8384
69,0,11,5,25,22.0912177623075,7.05187106329824,4.13928892669393,-0.134623242281027,1,1,0.8836487104923,2.9087822376925,4,2.0,1.0,3.0,4.13928892669393,7.05187106329824,-0.134623242281027,1.0,,7.05187106329824,26.2305066890014,-0.134623242281027,-5.89175,-1.0,-12.45605
70,0,11,6,25,7.05187106329824,10.4717255752412,3.55681619410633,-0.739943658718503,1,0,0.28207484253193,17.9481289367018,1,1.0,2.0,3.0,10.4717255752412,3.55681619410633,-0.739943658718503,1.0,,17.5235966385394,3.55681619410633,-0.739943658718503,-2.74875,-9.05875,-12.6042
71,0,11,7,25,17.5235966385394,8.06229595163263,3.84232035811882,13.6011497404088,1,0,0.700943865541578,7.47640336146056,2,1.0,3.0,2.0,8.06229595163263,13.6011497404088,3.84232035811882,1.0,,25.5858925901721,3.84232035811882,13.6011497404088,-1.0,-8.79445,-2.90375
78,0,13,1,50,0.0,6.57949554105946,6.18947035137749,4.51637544046271,1,0,0.0,50.0,0,,,,,,,1.0,,6.57949554105946,6.18947035137749,4.51637544046271,-11.4389,-11.8523,-13.4759
79,0,13,2,50,6.57949554105946,6.50698633852951,2.12227264743622,5.73625498512682,1,0,0.131589910821189,43.4205044589405,1,1.0,3.0,2.0,6.50698633852951,5.73625498512682,2.12227264743622,1.0,,13.086481879589,2.12227264743622,5.73625498512682,-10.28255,-15.50285,-12.42195
80,0,13,3,50,13.086481879589,5.10205257532214,1.75091768219325,14.9496489682667,3,1,0.261729637591779,36.913518120411,2,1.0,3.0,2.0,5.10205257532214,14.9496489682667,1.75091768219325,1.0,,18.1885344549111,1.75091768219325,14.9496489682667,-10.26815,-15.8298,-6.7019
81,0,13,4,50,14.9496489682667,4.60394615398463,1.29545559030888,-2.52883351662977,3,0,0.298992979365334,35.0503510317333,1,3.0,1.0,2.0,-2.52883351662977,4.60394615398463,1.29545559030888,1.0,,4.60394615398463,1.29545559030888,12.4208154516369,-13.38785,-16.2345,-16.32785
82,0,13,5,50,12.4208154516369,3.72743137545883,0.371264784253157,-3.24090246878656,1,1,0.248416309032739,37.5791845483631,2,3.0,1.0,2.0,-3.24090246878656,3.72743137545883,0.371264784253157,1.0,,3.72743137545883,0.371264784253157,9.17991298285037,-14.0942,-16.853,-16.78955
83,0,13,6,50,3.72743137545883,3.73361188640541,1.46509869765617,-1.85404129439584,1,0,0.0745486275091766,46.2725686245412,1,1.0,2.0,3.0,3.73361188640541,1.46509869765617,-1.85404129439584,1.0,,7.46104326186424,1.46509869765617,-1.85404129439584,-13.5843,-16.09345,-17.2298
84,0,13,7,50,7.46104326186424,4.88182751986479,0.103938567197191,-2.32068060816542,1,0,0.149220865237285,42.5389567381358,2,1.0,2.0,3.0,4.88182751986479,0.103938567197191,-2.32068060816542,1.0,,12.342870781729,0.103938567197191,-2.32068060816542,-11.64775,-16.7464,-17.203
85,0,13,8,50,12.342870781729,3.83645641110795,11.7675637949131,-2.14144396889099,1,0,0.246857415634581,37.657129218271,3,1.0,2.0,3.0,3.83645641110795,11.7675637949131,-2.14144396889099,1.0,,16.179327192837,11.7675637949131,-2.14144396889099,-11.69635,-8.1623,-17.159
86,0,13,9,50,16.179327192837,3.61169492041284,10.5725044091502,-1.03483722307385,1,0,0.32358654385674,33.820672807163,4,1.0,2.0,3.0,3.61169492041284,10.5725044091502,-1.03483722307385,1.0,,19.7910221132498,10.5725044091502,-1.03483722307385,-11.3013,-8.716,-17.0881
87,0,13,10,50,19.7910221132498,3.42294612431479,-0.225827551790632,-2.32187877372649,1,0,0.395820442264996,30.2089778867502,5,1.0,2.0,3.0,3.42294612431479,-0.225827551790632,-2.32187877372649,1.0,,23.2139682375646,-0.225827551790632,-2.32187877372649,-10.63845,-16.94695,-17.25445
